price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
8425065,12653,4,3,2,yes,no,no,no,yes,1,no,unfurnished
9516551,11805,6,2,3,yes,yes,no,no,yes,1,no,unfurnished
11008841,14417,2,5,2,yes,no,yes,yes,yes,2,yes,unfurnished
5355962,4843,1,3,4,yes,yes,no,no,no,0,no,unfurnished
8252954,8989,1,5,1,yes,no,yes,no,yes,3,yes,furnished
8852492,10692,3,1,4,yes,no,no,no,yes,2,yes,furnished
9107307,13990,4,4,1,no,no,no,no,no,0,yes,semi-furnished
5978377,7873,1,4,1,yes,no,no,no,yes,1,no,semi-furnished
6142983,6675,3,3,1,yes,yes,no,no,yes,2,no,unfurnished
4173127,1161,5,3,4,yes,no,no,no,no,1,yes,semi-furnished
5356292,5297,3,5,1,yes,no,yes,no,no,0,no,unfurnished
8314990,11173,3,3,2,no,no,no,no,no,3,yes,semi-furnished
5493985,1995,3,5,2,yes,no,yes,no,yes,3,no,unfurnished
10585511,14103,2,3,3,yes,yes,no,no,yes,1,yes,furnished
9935123,12534,3,5,3,yes,no,yes,no,yes,1,no,unfurnished
9775693,13743,6,3,3,yes,no,no,no,no,1,no,furnished
8437663,8629,3,2,2,yes,yes,yes,no,yes,2,no,furnished
8578449,12990,2,5,4,no,no,no,yes,no,0,no,unfurnished
7417389,10467,2,2,3,yes,no,no,no,yes,1,no,unfurnished
4338756,2016,5,2,2,yes,no,no,no,no,1,no,furnished
7612814,8869,4,2,1,no,no,yes,no,yes,1,no,semi-furnished
6321687,7439,1,2,4,yes,no,no,no,no,3,no,furnished
6409119,8892,1,1,4,yes,no,no,yes,no,1,no,unfurnished
5682217,7863,3,4,2,no,no,no,no,no,0,no,unfurnished
8387359,8916,5,1,2,yes,no,no,no,yes,3,no,semi-furnished
7636243,9529,3,3,1,no,no,yes,yes,yes,0,no,semi-furnished
3474391,1878,1,3,1,yes,no,yes,no,no,3,no,furnished
7635004,10268,2,4,1,no,yes,yes,no,no,3,no,unfurnished
8239348,5887,4,4,4,yes,no,yes,no,yes,2,yes,furnished
10219857,13185,5,4,4,yes,no,no,no,no,3,no,unfurnished
6511070,5859,2,2,3,no,yes,yes,no,no,3,no,furnished
7950374,7331,4,1,3,yes,no,yes,no,yes,0,yes,furnished
8299351,9571,5,3,3,yes,yes,no,no,yes,0,no,semi-furnished
7817575,9684,5,1,4,yes,no,yes,no,no,1,no,furnished
5069211,8208,1,1,1,yes,yes,no,no,no,2,no,furnished
7494277,6276,2,1,3,yes,yes,no,yes,yes,3,yes,semi-furnished
6076864,3062,5,4,1,no,yes,yes,no,no,2,yes,semi-furnished
9170876,13076,6,4,1,no,yes,no,no,yes,1,no,unfurnished
4354748,1064,5,3,1,no,yes,yes,no,no,2,yes,unfurnished
7195972,9006,4,3,3,yes,no,yes,no,no,3,no,semi-furnished
3971070,3568,1,3,3,no,no,no,no,no,0,yes,furnished
5618564,6463,3,1,1,yes,no,yes,no,yes,2,no,semi-furnished
9533215,14440,1,4,3,no,yes,no,no,yes,3,no,furnished
4992723,3027,3,2,2,no,yes,no,no,no,1,yes,unfurnished
5409697,3695,2,1,3,yes,yes,yes,no,yes,3,no,furnished
8595951,10687,2,5,1,yes,no,yes,no,yes,2,no,semi-furnished
5041459,6258,5,1,1,no,no,no,no,no,3,no,unfurnished
8565437,6618,6,4,4,yes,no,no,no,yes,3,yes,semi-furnished
8047467,7736,2,5,4,yes,yes,no,no,yes,2,no,furnished
4717207,1391,5,1,1,no,no,no,no,yes,2,yes,unfurnished
9549018,14986,1,4,2,yes,no,yes,no,no,1,no,furnished
10192613,13706,2,4,4,no,no,yes,no,yes,3,yes,furnished
7693964,13666,1,2,1,no,yes,no,no,no,0,no,unfurnished
6758838,6892,1,1,4,yes,yes,no,no,yes,2,yes,semi-furnished
8372380,4561,6,4,4,yes,no,yes,no,no,3,no,unfurnished
7504720,11470,2,3,1,yes,yes,no,no,no,0,no,furnished
6078733,7184,1,4,3,yes,no,yes,no,no,0,no,unfurnished
7684818,4099,6,2,2,yes,yes,yes,no,yes,3,yes,semi-furnished
8118276,7278,6,4,3,no,yes,no,no,yes,3,no,semi-furnished
7170399,9392,2,1,1,yes,yes,no,no,no,3,no,furnished
9557918,14067,6,1,1,yes,yes,no,no,no,0,no,semi-furnished
5332739,4104,2,5,2,yes,no,no,no,yes,3,no,semi-furnished
6551290,8215,2,1,1,yes,yes,yes,no,no,2,no,unfurnished
11134451,13790,3,5,4,no,yes,yes,no,yes,0,yes,unfurnished
4477195,3454,1,3,2,no,no,yes,no,yes,2,no,furnished
9865320,12837,4,2,3,yes,yes,yes,no,yes,2,no,furnished
8271535,9996,2,3,2,yes,yes,yes,no,no,3,no,furnished
5720660,3731,1,5,3,yes,yes,no,no,no,2,no,semi-furnished
10317639,11965,6,4,1,yes,yes,yes,no,yes,3,yes,furnished
8105596,9154,5,4,3,yes,no,yes,no,no,0,no,unfurnished
8217245,10762,2,3,3,yes,yes,no,no,no,2,yes,furnished
8470932,6056,6,4,3,yes,no,yes,no,no,3,yes,furnished
8252249,9110,6,5,2,yes,no,no,no,no,1,no,semi-furnished
10993448,14773,6,2,4,yes,no,no,no,no,3,yes,semi-furnished
8410971,11882,6,1,3,yes,no,no,no,no,1,no,unfurnished
9264622,4840,6,5,2,yes,yes,yes,no,yes,3,yes,furnished
3743708,2028,2,5,2,yes,no,no,no,no,1,no,furnished
7455617,8385,4,1,4,yes,no,no,no,no,2,yes,unfurnished
3888653,1502,3,1,2,yes,no,yes,no,yes,1,no,semi-furnished
6384970,7910,6,2,1,yes,no,no,no,no,2,no,furnished
10291121,13685,6,2,1,no,yes,no,no,yes,2,no,furnished
7211558,10062,3,2,1,no,yes,yes,no,yes,3,no,semi-furnished
7910295,7938,2,4,4,yes,yes,yes,no,no,2,no,unfurnished
5407033,5488,1,5,2,yes,no,yes,no,yes,0,no,semi-furnished
4039651,1206,5,1,1,no,no,yes,no,yes,1,yes,semi-furnished
8501630,6134,5,5,3,no,no,yes,no,yes,3,yes,semi-furnished
5550599,6977,1,5,2,yes,no,no,no,no,2,no,unfurnished
5276049,8721,2,2,1,no,no,no,no,no,1,no,unfurnished
7281420,8035,5,2,2,yes,yes,no,no,yes,1,no,semi-furnished
4180699,2484,3,5,1,yes,no,no,no,no,0,no,unfurnished
6536102,8858,1,2,3,yes,no,no,no,yes,1,yes,semi-furnished
3643445,1863,4,4,2,no,no,no,no,no,3,no,furnished
3858548,3790,2,1,1,yes,no,no,no,no,3,no,semi-furnished
7778452,8408,1,5,1,yes,no,no,no,yes,2,no,unfurnished
9015751,9755,5,1,3,yes,yes,yes,no,no,2,yes,furnished
6683410,6116,2,4,3,yes,yes,no,no,yes,3,no,semi-furnished
9151183,13383,3,2,1,yes,yes,no,no,no,1,yes,semi-furnished
6817022,7019,2,3,1,yes,no,no,no,yes,1,no,unfurnished
5600634,2757,2,4,4,yes,yes,no,no,no,0,yes,unfurnished
8015886,8574,3,3,4,yes,yes,no,no,yes,2,yes,unfurnished
6822312,7374,6,1,2,yes,no,yes,no,yes,1,yes,semi-furnished
6604648,7892,3,5,2,yes,no,no,no,yes,1,no,unfurnished
5188099,2678,2,2,4,yes,yes,yes,no,yes,2,no,furnished
5399730,4242,3,4,1,yes,yes,no,no,no,3,no,semi-furnished
6645091,5636,6,2,3,yes,no,no,no,yes,1,no,semi-furnished
4196741,2059,1,3,2,yes,no,no,no,yes,0,no,unfurnished
6630181,7668,3,3,1,yes,no,no,no,no,1,yes,furnished
11381521,14471,3,5,3,yes,no,yes,no,yes,1,yes,semi-furnished
8213969,10914,2,3,3,no,yes,no,no,yes,0,yes,unfurnished
9101966,12506,1,5,1,yes,no,no,no,no,3,yes,semi-furnished
6501612,4157,4,4,1,yes,no,yes,no,yes,0,yes,semi-furnished
6938601,6915,4,5,2,yes,no,no,no,yes,0,no,semi-furnished
9630488,11817,5,3,4,yes,no,no,no,yes,2,yes,unfurnished
8318154,11921,3,1,1,yes,yes,no,no,yes,1,yes,furnished
10384657,10789,3,5,4,yes,yes,yes,no,no,3,yes,unfurnished
6427498,12252,1,2,2,no,no,no,no,no,1,no,semi-furnished
6536268,3693,6,1,4,yes,yes,yes,no,yes,3,no,furnished
9779319,14083,4,5,4,yes,no,no,yes,no,0,yes,semi-furnished
11370573,14339,5,2,3,yes,no,no,no,yes,2,yes,semi-furnished
8433003,14931,1,1,2,no,no,no,no,yes,0,yes,semi-furnished
4431112,4627,3,5,1,yes,yes,no,no,no,1,no,semi-furnished
8832019,10555,4,4,4,no,no,no,no,yes,2,no,unfurnished
8725260,11173,5,2,2,yes,yes,yes,no,yes,2,no,semi-furnished
5518638,6450,2,4,3,no,yes,no,no,yes,1,no,furnished
5550945,2663,4,3,3,yes,no,no,no,yes,3,no,furnished
10668237,10721,5,5,4,yes,yes,yes,no,yes,2,yes,semi-furnished
9253307,11230,1,5,4,yes,no,no,no,no,3,no,semi-furnished
5928714,6592,2,2,1,yes,no,yes,no,yes,3,yes,furnished
10043177,12494,5,5,2,no,no,no,yes,no,3,no,unfurnished
8339630,11429,5,3,1,yes,no,no,no,yes,2,no,semi-furnished
7503677,8392,3,5,1,yes,no,no,no,yes,0,yes,semi-furnished
9661069,14696,6,1,3,no,no,no,no,no,2,yes,semi-furnished
10244212,14688,4,4,2,yes,no,no,no,no,0,no,furnished
4901417,2306,3,3,1,yes,no,no,no,yes,2,no,semi-furnished
8643364,13221,2,3,3,yes,no,no,no,yes,0,no,furnished
7810284,7776,6,4,4,yes,no,yes,no,no,0,no,semi-furnished
8978303,11867,5,4,1,no,no,yes,no,yes,2,yes,semi-furnished
10848060,14260,3,3,4,yes,no,no,no,yes,3,no,furnished
7200752,6864,6,4,2,no,no,yes,no,no,3,yes,unfurnished
6921094,10474,4,2,1,no,no,yes,no,no,0,yes,furnished
6880968,8526,2,4,4,yes,no,no,no,no,1,no,semi-furnished
7158913,9901,1,1,4,yes,no,yes,yes,no,1,yes,unfurnished
5737310,6575,3,1,2,yes,no,yes,no,yes,2,no,semi-furnished
6404542,6530,2,2,3,yes,no,no,no,yes,2,yes,furnished
9680397,13936,1,4,3,yes,no,no,no,yes,2,yes,semi-furnished
4964158,5413,3,1,1,yes,no,no,no,yes,1,no,semi-furnished
6200974,4748,2,5,4,no,no,yes,no,no,3,no,semi-furnished
8355242,14545,2,4,3,yes,no,no,no,no,2,no,semi-furnished
10704090,13971,6,2,1,yes,no,yes,no,no,2,yes,semi-furnished
5463617,1663,3,4,4,yes,yes,no,no,no,3,no,unfurnished
4619485,2998,2,3,1,yes,no,no,no,yes,0,yes,semi-furnished
8122196,8994,5,3,2,yes,no,no,no,no,2,no,unfurnished
8390168,12637,3,1,1,yes,no,yes,no,no,1,no,unfurnished
9569287,12935,2,3,2,yes,yes,yes,no,yes,1,no,furnished
10364806,14919,6,2,4,yes,no,no,no,yes,2,no,furnished
2738149,2495,1,1,4,no,yes,no,no,yes,1,no,semi-furnished
3914324,4304,1,2,4,yes,no,no,no,no,3,no,semi-furnished
6159368,4763,5,2,1,yes,no,yes,no,yes,0,no,unfurnished
6249644,6232,3,3,4,yes,no,no,no,no,0,yes,semi-furnished
6301658,2853,6,3,4,yes,yes,yes,yes,no,2,no,unfurnished
9220909,14808,2,2,2,no,no,no,no,no,2,yes,semi-furnished
7136743,7585,2,3,4,yes,yes,yes,no,yes,0,no,semi-furnished
8449935,13851,1,3,4,no,yes,no,no,no,0,no,unfurnished
5680216,2291,6,3,4,no,no,no,no,yes,2,no,semi-furnished
5587220,4581,5,4,3,yes,no,no,no,no,1,no,semi-furnished
10035367,12649,1,2,4,yes,yes,yes,no,yes,2,yes,semi-furnished
6657490,8554,1,5,1,no,no,yes,no,no,3,yes,semi-furnished
8074998,8280,5,2,2,yes,yes,yes,no,yes,2,no,furnished
4956299,2636,3,1,4,yes,no,no,no,yes,2,no,unfurnished
5465194,4696,2,3,1,yes,yes,no,no,no,2,yes,semi-furnished
8488766,12191,3,3,2,yes,no,no,yes,yes,2,no,furnished
10732688,12344,6,5,2,yes,yes,no,yes,no,2,no,unfurnished
3713751,1698,4,1,1,no,no,yes,no,no,2,no,unfurnished
9854926,11352,4,4,1,yes,no,no,yes,yes,1,no,furnished
9774594,13289,4,2,3,no,no,no,no,yes,2,yes,semi-furnished
6786770,5737,5,4,3,yes,no,no,no,yes,0,yes,semi-furnished
9699399,14877,1,1,4,yes,yes,yes,no,yes,2,no,furnished
5063482,1854,3,5,3,yes,yes,no,no,no,1,yes,unfurnished
6735976,9164,2,1,1,no,no,yes,no,yes,3,no,semi-furnished
6166211,6855,4,5,3,yes,no,no,no,no,0,no,semi-furnished
7161591,8392,3,4,2,yes,no,no,no,no,2,no,semi-furnished
7037036,7528,4,4,1,yes,yes,no,no,no,2,yes,furnished
8692201,12666,4,1,4,no,yes,no,no,yes,0,no,unfurnished
8687694,14949,2,1,2,yes,no,yes,no,no,2,no,semi-furnished
7080588,6249,6,3,2,yes,no,yes,no,no,1,yes,furnished
7647362,6172,6,5,2,yes,no,no,no,no,2,no,semi-furnished
5188395,2707,6,3,1,yes,yes,no,no,no,3,yes,semi-furnished
9406036,11969,5,2,1,yes,no,yes,no,yes,1,no,semi-furnished
5902179,6791,1,2,4,yes,no,yes,no,no,2,no,semi-furnished
9292896,10925,5,1,3,yes,no,no,no,yes,3,yes,furnished
6714136,6535,3,4,3,yes,no,no,no,yes,0,no,semi-furnished
6521404,5931,5,2,3,yes,no,no,yes,no,1,yes,semi-furnished
6116093,4510,3,2,3,yes,yes,yes,no,yes,2,yes,semi-furnished
5676620,1202,3,3,2,yes,yes,no,no,yes,2,no,semi-furnished
8072917,12447,1,3,1,yes,yes,yes,yes,yes,0,no,furnished
5672725,5218,2,2,3,yes,no,no,no,yes,0,no,furnished
7119662,13688,1,1,2,no,no,no,no,yes,1,no,semi-furnished
9447172,9958,6,3,1,yes,no,yes,no,no,1,no,semi-furnished
5974221,5389,6,2,1,yes,yes,no,yes,no,1,yes,unfurnished
5776269,3327,5,4,1,yes,no,no,no,yes,2,yes,furnished
7802744,9004,3,3,2,yes,yes,yes,no,yes,2,yes,furnished
5274527,3931,4,2,3,yes,yes,no,no,yes,1,no,unfurnished
8409629,8777,4,5,1,yes,yes,no,no,yes,2,no,furnished
4368098,1197,3,3,2,yes,yes,no,no,yes,0,yes,semi-furnished
7024329,8125,1,5,1,yes,no,no,no,no,3,no,semi-furnished
5133004,2930,2,3,4,yes,yes,no,no,yes,2,no,unfurnished
9318836,12774,1,3,4,yes,yes,no,no,yes,1,no,unfurnished
7437885,7287,3,5,2,yes,no,yes,no,yes,2,no,semi-furnished
7363278,9800,3,1,3,yes,no,no,no,yes,0,yes,furnished
9834897,12464,2,2,3,yes,yes,no,no,yes,1,no,unfurnished
9532421,10339,5,1,1,yes,yes,yes,no,yes,3,yes,semi-furnished
6183192,5282,5,1,3,yes,yes,no,no,yes,1,no,unfurnished
7836485,12589,2,2,3,yes,no,no,no,yes,1,no,semi-furnished
6247522,3511,5,4,4,yes,no,yes,no,no,1,no,furnished
7844283,10986,4,1,2,yes,no,yes,no,no,2,no,furnished
5224588,1659,5,1,4,no,yes,yes,no,yes,3,no,unfurnished
5413319,3811,5,1,2,yes,no,no,no,yes,0,yes,furnished
7736838,8098,5,4,1,yes,no,no,no,no,2,no,unfurnished
8783150,7546,4,3,4,yes,yes,no,no,yes,3,no,furnished
9502922,10561,5,5,2,yes,no,yes,no,yes,3,no,furnished
6737784,2986,6,5,3,yes,no,yes,no,yes,2,no,furnished
9785919,14822,4,4,2,yes,no,no,no,yes,1,no,furnished
6909230,9338,2,1,3,yes,no,no,no,no,3,yes,furnished
8000635,12411,1,5,1,yes,no,no,no,yes,0,no,furnished
5285785,3911,2,4,3,yes,no,no,no,no,2,yes,furnished
3282606,2734,1,2,2,yes,no,no,no,yes,3,no,furnished
4739979,2843,2,5,4,yes,no,no,no,yes,0,no,unfurnished
7815260,9680,6,2,2,yes,no,no,no,yes,0,no,semi-furnished
4810315,3976,1,1,4,yes,no,no,no,no,0,no,furnished
4196528,2959,1,5,2,yes,yes,yes,no,no,0,no,unfurnished
7802623,6759,3,4,2,no,yes,yes,yes,yes,2,no,furnished
5863076,7694,1,3,1,yes,no,no,no,yes,0,yes,semi-furnished
5649167,3385,1,5,3,yes,no,no,no,yes,2,yes,unfurnished
9053860,12111,3,5,2,yes,no,no,yes,yes,0,no,semi-furnished
8180788,5736,5,5,4,yes,no,yes,no,no,0,yes,furnished
5942995,2802,5,5,3,yes,no,no,no,no,2,no,unfurnished
8228045,9155,3,4,1,yes,no,no,no,yes,1,no,furnished
9365818,9120,4,4,3,yes,no,yes,no,yes,3,yes,semi-furnished
6277063,7616,1,3,2,no,no,no,no,yes,3,no,unfurnished
5450631,6534,1,4,4,no,no,no,no,yes,2,no,unfurnished
5744296,5061,3,4,4,yes,no,no,no,no,0,yes,semi-furnished
9522018,12561,3,1,3,yes,no,yes,no,no,2,yes,unfurnished
10523487,14922,4,1,4,yes,no,yes,no,yes,0,no,furnished
5566157,1262,6,2,2,yes,no,yes,no,yes,2,no,unfurnished
7647469,7287,5,3,4,yes,yes,no,no,no,3,no,unfurnished
7773042,9815,2,1,4,yes,yes,no,no,yes,2,no,semi-furnished
8737264,10208,6,3,4,yes,no,no,yes,yes,3,no,semi-furnished
10918834,12835,5,3,2,no,no,yes,no,yes,3,yes,unfurnished
10232480,14168,1,5,1,yes,yes,yes,no,yes,3,no,semi-furnished
5115275,3049,6,3,4,yes,no,no,no,yes,2,no,semi-furnished
7533740,6423,3,5,1,yes,no,yes,no,yes,1,no,semi-furnished
10393210,12915,4,2,3,yes,yes,no,no,yes,2,no,unfurnished
6903027,5548,5,2,3,yes,no,no,no,yes,2,yes,furnished
6447211,4108,4,2,2,yes,yes,yes,no,yes,1,yes,semi-furnished
12396484,14471,5,5,2,yes,no,no,no,yes,1,yes,semi-furnished
11391999,13282,6,5,2,yes,no,no,no,yes,3,no,unfurnished
6369552,8158,1,2,2,no,no,yes,no,yes,0,yes,semi-furnished
6881300,11248,2,5,1,no,no,no,no,no,0,no,semi-furnished
8872081,8400,4,4,2,yes,no,no,no,yes,3,yes,furnished
6083495,4170,4,4,1,yes,no,yes,no,no,2,yes,furnished
9421556,10874,2,5,4,yes,no,yes,no,yes,0,yes,furnished
6067497,3255,4,5,4,yes,no,no,no,no,2,yes,semi-furnished
5903686,2154,4,1,3,yes,no,yes,yes,yes,1,no,furnished
7327706,5499,5,1,3,yes,yes,no,no,yes,1,yes,unfurnished
6915687,7295,5,3,1,yes,no,yes,no,yes,3,no,unfurnished
6596089,7197,2,3,2,yes,yes,yes,yes,yes,2,no,furnished
9972037,12383,1,3,3,yes,no,yes,no,yes,3,yes,furnished
8627721,10888,6,2,1,yes,yes,no,no,yes,0,yes,semi-furnished
11831666,13183,6,4,3,yes,yes,yes,no,yes,0,yes,unfurnished
9453627,13915,4,2,2,yes,no,no,no,yes,0,yes,furnished
8803766,13874,1,5,1,yes,no,yes,no,no,2,no,furnished
4127114,2648,2,1,3,yes,no,no,no,yes,3,no,furnished
5849278,6539,2,5,2,no,no,yes,no,no,3,no,semi-furnished
7804919,10637,5,5,1,yes,no,no,no,yes,0,no,semi-furnished
5202729,5199,4,1,1,no,yes,no,yes,yes,3,no,unfurnished
10678596,13115,3,5,1,yes,yes,no,no,yes,1,yes,semi-furnished
7855999,9445,2,3,4,yes,no,no,no,no,1,yes,furnished
8940106,12375,4,1,1,yes,yes,no,no,no,1,no,unfurnished
4306910,3557,1,5,3,yes,no,no,no,yes,1,no,semi-furnished
8048038,6592,5,3,1,yes,no,yes,no,yes,3,yes,semi-furnished
4280333,1098,6,3,1,yes,no,no,no,yes,1,no,semi-furnished
4434658,3200,1,4,1,no,yes,no,no,yes,1,yes,furnished
3678203,3961,2,3,1,no,no,no,no,no,1,no,unfurnished
5571830,5973,2,2,1,yes,yes,yes,no,yes,1,no,semi-furnished
5171696,5433,1,1,4,yes,no,no,no,yes,1,yes,furnished
7959519,12969,2,1,2,yes,no,no,no,yes,2,no,semi-furnished
6622273,3869,4,1,4,yes,yes,yes,no,yes,2,yes,furnished
9526627,12426,2,5,3,yes,no,yes,no,yes,1,no,semi-furnished
10250852,12983,5,5,2,yes,no,yes,no,yes,1,no,unfurnished
5935685,1956,4,2,3,yes,yes,yes,no,no,3,yes,unfurnished
9624053,14992,3,3,1,yes,no,no,no,yes,1,no,unfurnished
10295623,13259,2,5,3,yes,no,yes,no,no,0,no,furnished
8197197,9352,2,3,4,no,no,yes,no,yes,2,no,semi-furnished
6919319,6699,5,3,4,yes,yes,yes,no,no,1,yes,semi-furnished
7785520,7944,5,5,1,yes,no,yes,no,no,2,yes,semi-furnished
6621311,5493,6,5,1,yes,no,no,no,yes,1,no,unfurnished
8326208,10492,1,2,2,yes,yes,yes,yes,yes,0,no,unfurnished
4273710,5911,1,4,4,no,no,yes,no,yes,1,no,furnished
4631455,4987,1,1,4,yes,no,no,no,yes,2,yes,furnished
9441225,10719,5,5,2,no,yes,no,no,yes,2,no,furnished
6843397,7015,1,5,4,yes,no,no,yes,no,2,no,unfurnished
9497477,14703,1,3,2,no,yes,yes,no,no,3,yes,furnished
10787682,14446,3,4,4,yes,yes,no,no,yes,2,no,semi-furnished
3078376,2218,1,5,3,no,no,no,no,no,1,no,furnished
6369445,5496,2,4,3,yes,yes,no,no,no,0,no,furnished
7684249,5735,6,1,2,yes,no,yes,no,yes,0,yes,semi-furnished
9412345,12296,5,3,2,yes,no,yes,no,yes,1,yes,semi-furnished
8410248,11927,4,2,1,yes,no,no,no,yes,3,no,unfurnished
5735562,5555,6,1,4,no,no,no,no,yes,1,no,semi-furnished
9656860,10146,3,4,3,yes,yes,no,no,yes,2,yes,semi-furnished
9155636,9050,5,4,1,yes,no,no,no,yes,3,no,unfurnished
10269303,13757,5,1,4,yes,no,no,no,yes,1,yes,semi-furnished
